symbol,name,engname,tradetype,lasttrade,prevclose,open,high,low,volume,amount,ticktime,buy,sell,pricechange,changepercent
00045,大酒店,HK&S HOTELS,,5.41000,5.39000,5.41000,5.41000,5.38000,58500,316105,2025/05/29 13:00:06,5.40000,5.41000,0.02000,0.37106
00046,科联系统,COMPUTER & TECH,,1.49000,1.49000,0.00000,0.00000,0.00000,0,0,2025/05/29 09:55:19,1.47000,1.50000,0.00000,0.00000
00048,中国汽车内饰,C AUTO INT DECO,,0.26000,0.26000,0.00000,0.00000,0.00000,0,0,2025/05/29 13:47:00,0.21900,0.25000,0.00000,0.00000
00050,香港小轮（集团）,HK FERRY (HOLD),,4.32000,4.33000,4.34000,4.36000,4.32000,63000,272640,2025/05/29 13:46:33,4.31000,4.33000,-0.01000,-0.23095
00051,海港企业,HARBOUR CENTRE,,3.98000,3.98000,0.00000,0.00000,0.00000,0,0,2025/05/29 11:59:17,3.95000,4.00000,0.00000,0.00000
00052,大快活集团,FAIRWOOD HOLD,,5.04000,5.04000,5.02000,5.04000,5.02000,57500,289425,2025/05/29 13:44:35,5.04000,5.09000,0.00000,0.00000
00053,国浩集团,GUOCO GROUP,,64.55000,64.00000,64.55000,64.55000,64.55000,1000,64550,2025/05/29 13:09:32,64.20000,64.60000,0.55000,0.85938
00055,中星集团控股,NEWAY GROUP,,0.19500,0.18100,0.19500,0.19500,0.19500,10000,1950,2025/05/29 13:00:26,0.17000,0.19500,0.01400,7.73481
00057,震雄集团,CHEN HSONG HOLD,,1.41000,1.40000,1.41000,1.41000,1.41000,14000,19740,2025/05/29 11:23:11,1.40000,1.42000,0.01000,0.71429
00058,新威国际,SUNWAY INT'L,,0.15100,0.15300,0.15100,0.15100,0.15100,40000,6040,2025/05/29 13:00:31,0.15100,0.16000,-0.00200,-1.30719
00059,天誉置业,SKYFAME REALTY,,0.01000,0.01000,0.00000,0.00000,0.00000,0,0,2025/05/29 08:55:00,0.00000,0.00000,0.00000,0.00000
00060,香港食品投资,HK FOOD INV,,0.43000,0.43000,0.00000,0.00000,0.00000,0,0,2025/05/29 10:03:07,0.42500,0.43500,0.00000,0.00000
00061,绿领控股,GREEN LEADER,,0.07600,0.07600,0.00000,0.00000,0.00000,0,0,2025/05/29 13:00:21,0.06900,0.08800,0.00000,0.00000
00062,载通,TRANSPORT INT'L,,9.08000,9.12000,9.13000,9.13000,9.00000,136000,1236908,2025/05/29 13:42:24,9.04000,9.08000,-0.04000,-0.43860
00063,中亚烯谷集团,CHI ASIA VALLEY,,0.05900,0.05900,0.00000,0.00000,0.00000,0,0,2025/05/29 11:46:36,0.05600,0.06100,0.00000,0.00000
00064,结好控股,GET NICE,,0.14300,0.14300,0.00000,0.00000,0.00000,0,0,2025/05/29 09:55:59,0.14300,0.14500,0.00000,0.00000
00065,弘海高新资源,GRAND OCEAN AR,,0.47500,0.47500,0.00000,0.00000,0.00000,0,0,2025/05/29 08:55:00,0.00000,0.00000,0.00000,0.00000
00066,港铁公司,MTR CORPORATION,,27.25000,27.05000,27.20000,27.50000,27.15000,3122691,85318773,2025/05/29 13:46:00,27.25000,27.30000,0.20000,0.73937
00069,香格里拉（亚洲）,SHANGRI-LA ASIA,,4.42000,4.46000,4.45000,4.48000,4.42000,240000,1066430,2025/05/29 13:34:08,4.42000,4.44000,-0.04000,-0.89686
